date,state,county,bias_motivation,source,incident_id,offense_type,victim_type,bias_motivation_cleaned,incidents_corrected,city,description,latitude,longitude,verified,adl_category,raw_data,borough,collection_date,incident_count,state_name,data_type,month_year,antisemitic_indicators,classification_reasons,estimated_antisemitic,fbi_data_type,collection_method,original_total_2022_2023,seasonal_multiplier,source_file,last_updated,state_code,data_quality
01/01/2022,PA,,ANTI-JEWISH,FBI,,,,ANTI-JEWISH,21.0,,FBI anti-Jewish hate crime estimate for Pennsylvania,,,True,,,,2025-06-19T05:26:51.026661,21.0,Pennsylvania,monthly_estimated_from_bias_total,01-2022,,,,,API_BIAS_TOTAL_DISTRIBUTED,700.0,0.7627118644067796,,,,
01/01/2022,MD,,ANTI-JEWISH,FBI,,,,ANTI-JEWISH,24.0,,FBI anti-Jewish hate crime estimate for Maryland,,,True,,,,2025-06-19T05:26:51.026446,24.0,Maryland,monthly_estimated_from_bias_total,01-2022,,,,,API_BIAS_TOTAL_DISTRIBUTED,711.0,0.7627118644067796,,,,
01/01/2022,FL,,ANTI-JEWISH,FBI,,,,ANTI-JEWISH,17.0,,FBI anti-Jewish hate crime estimate for Florida,,,True,,,,2025-06-19T05:26:51.026876,17.0,Florida,monthly_estimated_from_bias_total,01-2022,,,,,API_BIAS_TOTAL_DISTRIBUTED,625.0,0.7627118644067796,,,,
01/01/2022,CO,,ANTI-JEWISH,FBI,,,,ANTI-JEWISH,29.0,,FBI anti-Jewish hate crime estimate for Colorado,,,True,,,,2025-06-19T05:26:51.026228,29.0,Colorado,monthly_estimated_from_bias_total,01-2022,,,,,API_BIAS_TOTAL_DISTRIBUTED,760.0,0.7627118644067796,,,,
01/01/2022,AZ,,ANTI-JEWISH,FBI,,,,ANTI-JEWISH,17.0,,FBI anti-Jewish hate crime estimate for Arizona,,,True,,,,2025-06-19T05:26:51.027342,17.0,Arizona,monthly_estimated_from_bias_total,01-2022,,,,,API_BIAS_TOTAL_DISTRIBUTED,545.0,0.7627118644067796,,,,
01/01/2022,GA,,ANTI-JEWISH,FBI,,,,ANTI-JEWISH,11.0,,FBI anti-Jewish hate crime estimate for Georgia,,,True,,,,2025-06-19T05:26:51.027572,11.0,Georgia,monthly_estimated_from_bias_total,01-2022,,,,,API_BIAS_TOTAL_DISTRIBUTED,388.0,0.7627118644067796,,,,
01/01/2022,VA,,ANTI-JEWISH,FBI,,,,ANTI-JEWISH,16.0,,FBI anti-Jewish hate crime estimate for Virginia,,,True,,,,2025-06-19T05:26:51.027119,16.0,Virginia,monthly_estimated_from_bias_total,01-2022,,,,,API_BIAS_TOTAL_DISTRIBUTED,571.0,0.7627118644067796,,,,
01/01/2022,NC,,ANTI-JEWISH,FBI,,,,ANTI-JEWISH,21.0,,FBI anti-Jewish hate crime estimate for North Carolina,,,True,,,,2025-06-19T05:26:51.026007,21.0,North Carolina,monthly_estimated_from_bias_total,01-2022,,,,,API_BIAS_TOTAL_DISTRIBUTED,786.0,0.7627118644067796,,,,
01/01/2022,DC,,ANTI-JEWISH,FBI,,,,ANTI-JEWISH,14.0,,FBI anti-Jewish hate crime estimate for District of Columbia,,,True,,,,2025-06-19T05:26:51.027793,14.0,District of Columbia,monthly_estimated_from_bias_total,01-2022,,,,,API_BIAS_TOTAL_DISTRIBUTED,384.0,0.7627118644067796,,,,
01/01/2022,IL,,ANTI-JEWISH,FBI,,,,ANTI-JEWISH,22.0,,FBI anti-Jewish hate crime estimate for Illinois,,,True,,,,2025-06-19T05:26:51.025542,22.0,Illinois,monthly_estimated_from_bias_total,01-2022,,,,,API_BIAS_TOTAL_DISTRIBUTED,813.0,0.7627118644067796,,,,
