date,state,county,bias_motivation,source,incident_id,offense_type,victim_type,bias_motivation_cleaned,incidents_corrected,city,description,latitude,longitude,verified,adl_category,raw_data,borough,collection_date,incident_count,state_name,data_type,month_year
01/23/2019,NY,KINGS,ANTI-JEWISH,NYPD,201906012119317,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
02/25/2019,NY,KINGS,ANTI-JEWISH,NYPD,201906012175717,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
02/27/2019,NY,KINGS,ANTI-JEWISH,NYPD,201906012180117,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
04/16/2019,NY,KINGS,ANTI-JEWISH,NYPD,201906012273417,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
06/20/2019,NY,KINGS,ANTI-JEWISH,NYPD,201906012413717,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
07/31/2019,NY,KINGS,ANTI-JEWISH,NYPD,201906012523617,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
09/11/2019,NY,KINGS,ANTI-JEWISH,NYPD,201906012616917,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
11/21/2019,NY,KINGS,ANTI-JEWISH,NYPD,201906012762517,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
05/18/2019,NY,KINGS,ANTI-JEWISH,NYPD,201906112336617,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
06/02/2019,NY,KINGS,ANTI-JEWISH,NYPD,201906112366917,MISCELLANEOUS PENAL LAW,,ANTI-JEWISH,1.45,New York,,40.6782,-73.9442,,,,Brooklyn,,,,,
